model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
MeanBaseline,valence,lag_1,2.546354662315672e-30,6.899718054932863e-30,-1.1302455658528544e-30,6.222954890484199e-30,,0.24343170013222915,1.862927655489279e-15,16
SVR,valence,lag_1,-1.6703089252935872e-05,6.317523367130707e-05,-5.036679502776374e-05,1.6960616521891997e-05,0.00467654618213352,0.24034987982247225,0.00019386116777315144,16
CatBoostOptuna,valence,lag_1,-0.0008859739323135935,0.014095513138039476,-0.00839694270043852,0.006624994835811334,0.008638808590409752,0.27196424446942796,0.34004443908298715,16
RidgeCV,valence,lag_1,-0.0019062535872829672,0.033430079670346835,-0.01971988561762615,0.015907378443060213,-0.008674390423792117,0.29048419559581057,0.31219575113823617,16
XGBoost,valence,lag_1,-0.002621645871227868,0.044759001333589996,-0.026472034134270253,0.021228742391814513,0.0008250261668146985,0.28650968168497964,0.4316782522703602,16
RidgeCV,valence,lag_2,0.0019912095386713908,0.03341887369498561,-0.015816451248898983,0.019798870326241762,-0.002652136734587188,0.28338229420098626,0.31102790263933483,16
XGBoost,valence,lag_2,0.0016509140748316585,0.026246928492861497,-0.012335086877277763,0.01563691502694108,0.011665715246353788,0.27769184121193163,0.48953039538031706,16
CatBoostOptuna,valence,lag_2,0.0015321741881879239,0.015552466628838208,-0.006755150293903009,0.009819498670278858,-0.0035434730834068193,0.24975321915664883,0.1821071815843139,16
Ensemble,valence,lag_2,0.0007852253414770451,0.019527238548754697,-0.009620105591215879,0.011190556274169969,-0.003932183163861917,0.25656123722312923,0.15793539899152811,16
MeanBaseline,valence,lag_2,-7.242245500170418e-31,4.026412291233142e-30,-2.86974821211288e-30,1.4212991120787963e-30,,0.2417148760250924,1.7477026019048089e-15,16
SVR,valence,lag_2,-1.3587601284747826e-05,3.742794205544553e-05,-3.353154380607284e-05,6.356341236577187e-06,-0.04001018845330855,0.23875255112414612,0.0002085047211644087,16
CatBoost,valence,lag_2,-1.4939978596145362e-05,0.022131680702773028,-0.011808080172693547,0.011778200215501257,4.1117779115773124e-05,0.2611931127103784,0.2765500565061703,16
RidgeCV,valence,lag_3,0.009512958349492215,0.0377658138960015,-0.010611023367085373,0.029636940066069803,0.019749006709116668,0.28664493475429964,0.3144755923588048,16
Ensemble,valence,lag_3,0.0036800082157284154,0.023520900138202842,-0.008853394761951253,0.01621341119340808,0.006712122322570584,0.2568587340876645,0.1595759778801736,16
CatBoost,valence,lag_3,0.0013523648084793156,0.030929604162556697,-0.015128857875673488,0.01783358749263212,-0.005401625313438333,0.2618155032082457,0.28328506413779836,16
CatBoostOptuna,valence,lag_3,0.0007670940138087166,0.024794120112955353,-0.012444759998016773,0.013978948025634205,0.002759165667766145,0.261145236269517,0.29557244372596,16
XGBoost,valence,lag_3,0.0006895123957681116,0.034341935001356995,-0.017610013042299432,0.018989037833835657,0.010897827478052445,0.2742716433176665,0.4635415490496647,16
MeanBaseline,valence,lag_3,-6.964821792677278e-30,2.1456848927052324e-29,-1.8398369516352458e-29,4.468725930997903e-30,,0.2418395903845325,2.992008866078775e-15,16
SVR,valence,lag_3,-2.5638606160759303e-05,6.773093369373994e-05,-6.172987312121696e-05,1.0452660799698354e-05,-0.05804518279884517,0.2389565040800459,0.00021881565055134616,16
CatBoostOptuna,valence,lag_4,0.015150127592061566,0.04837151454561465,-0.010625233082005064,0.0409254882661282,0.021934046612612532,0.26119922119673666,0.3395998703882889,16
RidgeCV,valence,lag_4,0.001416174821741117,0.037901437986282586,-0.018780075871235605,0.021612425514717835,-0.0003520880930832439,0.2859260826131887,0.3288431596417902,16
SVR,valence,lag_4,1.2189168363037625e-06,2.0930368812673355e-05,-9.934089437236651e-06,1.2371923109844175e-05,-0.028701032931359744,0.23939470452281136,0.00013354329727537035,16
MeanBaseline,valence,lag_4,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,2.5466054756823333e-15,16
XGBoost,valence,lag_4,-0.000692121893032939,0.024195468262476563,-0.013584976851195613,0.012200733065129733,-0.0008138396169661198,0.27707409074639694,0.4917965416048356,16
Ensemble,valence,lag_4,-0.0015959330641674941,0.019857130408758906,-0.012177050960632839,0.008985184832297852,-0.018006711837170293,0.2569507331252278,0.16264594742183824,16
CatBoost,valence,lag_4,-0.007324623252933468,0.024604659449194377,-0.020435520803340282,0.0057862742974733455,-0.031064629971911565,0.26167541791611637,0.2692899228706548,16
CatBoostOptuna,valence,lag_400ms,0.013633661078899184,0.0496316403838435,-0.012813173256477559,0.04008049541427593,0.014925577140815396,0.2691192601502598,0.41366813042755834,16
CatBoost,valence,lag_400ms,0.00327440586231823,0.03337564297780396,-0.014510218902129385,0.021059030626765847,-0.00014407490091121567,0.26516260101774025,0.2739191381596246,16
MeanBaseline,valence,lag_400ms,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,1.760910869134826e-15,16
SVR,valence,lag_400ms,-4.2655011525968914e-06,5.964482792838933e-05,-3.6047986498329255e-05,2.751698419313547e-05,0.0431076614855768,0.24156887485928136,0.00019048995893954944,16
Ensemble,valence,lag_400ms,-0.0006008171567039065,0.02401226215679916,-0.013396048472194132,0.012194414158786318,-0.006941076658171335,0.26597195575705673,0.1591654113272925,16
RidgeCV,valence,lag_400ms,-0.0037147594491854807,0.03789921081289142,-0.023909823365234083,0.01648030446686312,-0.010157940654284076,0.30902287307700926,0.3187522761096146,16
XGBoost,valence,lag_400ms,-0.010472441585673394,0.028963460391412916,-0.02590598020794902,0.004961097036602233,-0.026008076349194633,0.2788533367800198,0.4172188792389024,16
Ensemble,valence,missingness,0.029677459198901312,0.0697085008451829,-0.007467578913120384,0.066822497310923,0.06944395169330816,0.25107905386783524,0.1524004753849242,16
RidgeCV,valence,missingness,0.027287923301024634,0.04419497394408391,0.0037380840187436933,0.05083776258330558,0.0794137949756315,0.25701059343083016,0.215556847302289,16
